"Plot.number","Treatment","Water.treatment","WHS","Herbivores","WTH","Year","Soil_N","Soil_Ca","Soil_Mg","Soil_K","Soil_P","Soil_Fe","Soil_Mn","Soil_Cu","Soil_Zn","Soil_B","Soil_S","Plant_C","Plant_N","Plant_P","Plant_Na","Plant_Mg","Plant_K","Plant_Ca","Plant_Mn","Plant_Fe","Plant_Cu","Plant_Zn","Plant_S","Plant_Cl","Plant_Si"
"8","3","Altered Frequency","Altered Frequency.1.2015","1","Reduced frequency +RH","2015",7.98,1983.93,439.49,397.62,1.9,46.2,15.04,11.44,37.08,0.11,84.8,44.59,0.85,2566.271,605.848,2059.174,14772.03,3114.313,177.114,64.292,9.322,93.422,579.847,7403.817,1.436
"10","1","Control","Control.1.2015","1","Ambient +RH","2015",5.74,1687.59,425.14,272.01,1.41,34.83,27.49,4.06,11.52,0.33,58.68,46.17,0.59,401.32,357.609,2784.2,11313.22,3508.029,244.167,89.222,6.641,46.958,2304.74,7335.656,1.437
"11","2","Reduced","Reduced.0.2015","0","Reduced amount -RH","2015",11.32,1046.84,333.19,484.72,8.94,12.65,26.39,1.12,3.51,0,53.91,44.99,0.71,944.711,475.648,2167.805,16068.86,3203.135,309.508,149.912,7.369,42.747,1814.189,8470.517,1.165
"12","1","Control","Control.1.2015","1","Ambient +RH","2015",9.96,1599.39,543.2,403.16,1.43,41.16,74.36,2.56,4.91,0.12,141.34,46.34,0.65,734.632,441.274,2841.629,14707.3,2735.782,250.112,77.062,7.35,29.563,2666.084,7317.892,1.565
"13","3","Altered Frequency","Altered Frequency.1.2015","1","Reduced frequency +RH","2015",11.94,1679.85,487.94,426.86,2.09,31.18,50.26,1.99,4.95,0.32,104.58,44.9,0.9,1077.969,449.053,2598.763,15678.21,3265.072,311.274,112.466,9.225,44.653,2808.884,6926.002,1.75
"16","3","Altered Frequency","Altered Frequency.0.2015","0","Reduced frequency -RH","2015",6.44,1719.94,463.44,550.06,2.46,25.57,30.34,5.2,12.17,0.05,76.84,44.42,0.88,1457.544,499.135,3244.465,14343.62,5012.934,282.984,215.991,8.686,66.891,2114.433,11815.43,1.746
"18","1","Control","Control.0.2015","0","Ambient -RH","2015",9.4,1835.71,469.37,228.51,4.01,49.18,46.7,14.24,27.7,0.16,94.87,44.84,0.82,1255.698,497.941,3590.232,9127.995,7726.684,201.736,193.49,9.305,66.252,1621.698,9294.233,1.325
"19","2","Reduced","Reduced.1.2015","1","Reduced amount +RH","2015",9.76,1087.54,302.11,761.4,4.7,23.31,51.98,2.21,10.02,0.21,43.51,46.36,0.87,1405.926,622.375,2399.042,11711.26,6225.578,342.216,148.623,8.382,66.466,1503.232,8832.206,1.067
"24","1","Control","Control.0.2015","0","Ambient -RH","2015",7.02,1387.06,497.5,394.49,1.58,13.69,23.83,0.89,2.49,0,41.47,46.38,0.72,586.429,586.746,2097.915,9996.175,3957.735,332.097,355.52,7.024,38.902,1609.985,7015.062,1.757
"26","3","Altered Frequency","Altered Frequency.1.2015","1","Reduced frequency +RH","2015",5.84,1892.04,608.21,251.05,3.98,27.33,34.94,2.74,6.56,0.06,124.77,44.98,0.79,783.392,446.682,3007.157,12195.41,4054.299,269.037,165.202,7.448,44.626,2879.788,6646.239,1.93
"27","1","Control","Control.1.2015","1","Ambient +RH","2015",16.46,1650.77,580.18,344.75,3.12,23.86,32.28,4.07,9.65,0,53.44,45.78,0.78,1135.06,541.899,2717.328,13482.69,4978.476,232.742,111.941,8.241,60.717,1876.695,9526.316,1.198
"28","2","Reduced","Reduced.1.2015","1","Reduced amount +RH","2015",5.8,1077.03,331.91,590.64,2.39,16.15,35.12,1.71,5.81,0.47,29.27,45.87,0.61,614.894,500.507,1336.374,12570.46,3363.928,225.911,89.565,6.162,34.838,1009.685,6837.531,1.255
"29","3","Altered Frequency","Altered Frequency.0.2015","0","Reduced frequency -RH","2015",12.1,1565.75,500.83,275.8,1.62,53.24,62.12,3.44,8.37,0,116.6,45.74,0.97,1732.451,631.988,2521.169,14554.71,4063.734,373.455,91.39,7.776,53.572,1406.735,8613.35,1.429
"30","2","Reduced","Reduced.0.2015","0","Reduced amount -RH","2015",11.54,1314.83,554.78,503.2,1.96,10.95,26.85,0.6,2.48,0,41.56,45.87,0.79,1016.235,525.198,2641.662,11556.11,4410.525,350.694,230.862,9.782,65.204,1442.537,7943.135,1.366
"31","3","Altered Frequency","Altered Frequency.1.2015","1","Reduced frequency +RH","2015",4.5,1655.94,546.68,316.99,1.02,20.41,29.46,2.08,3.48,0,117.6,45.93,0.7,1036.532,469.211,2458.754,9359.223,4474.879,437.123,165.038,7.394,39.807,1109.915,6929.364,2.398
"33","3","Altered Frequency","Altered Frequency.0.2015","0","Reduced frequency -RH","2015",10.56,1595.13,583.62,285.15,1.08,17.22,38.19,1.75,2.06,0,147.38,44.75,0.71,735.601,477.661,2185.176,8306.509,3491.689,339.068,143.72,6.697,42.825,946.493,5561.315,2.571
"35","2","Reduced","Reduced.1.2015","1","Reduced amount +RH","2015",9.82,1670.99,582.08,502.7,2.67,19.42,58.29,1.14,2.63,0.25,69.79,44.58,0.59,664.234,569.733,2190.829,8705.267,4029.165,381.718,228.145,7.671,45.812,1196.674,5343.798,2.553
"36","1","Control","Control.1.2015","1","Ambient +RH","2015",8.54,1714.85,444,156.04,1.06,35.4,69.82,2.9,6.83,0,72.99,44.85,0.61,723.668,537.128,2361.141,10669.88,4055.052,363.157,122.969,7.414,40.5,1700.001,5365.193,2.208
"37","2","Reduced","Reduced.0.2015","0","Reduced amount -RH","2015",16.56,1118.32,387.61,473.25,1.75,13.26,38.33,1.03,2.76,0.33,59.62,46.88,0.52,373.19,523.562,1369.497,6175.165,3429.175,356.952,294.737,6.061,39.045,298.587,4875.463,1.53
"39","1","Control","Control.0.2015","0","Ambient -RH","2015",5.28,1754.49,503.38,158.81,0.69,57.43,57.57,3.12,3.92,0.36,64.62,45.34,0.74,974.05,577.715,2324.27,7906.111,4211.35,340.694,209.382,7.488,69.237,1160.358,5460.491,1.773
"41","2","Reduced","Reduced.1.2015","1","Reduced amount +RH","2015",6.68,1189.52,386.06,437.6,1.36,9.43,16.68,0.91,1.89,0.24,48.36,45.44,0.67,728.161,354.977,1658.024,9433.305,3274.076,309.366,175.551,5.597,53.924,991.872,6100.435,1.534
"43","2","Reduced","Reduced.0.2015","0","Reduced amount -RH","2015",10.12,1562.5,519.47,469.86,1.9,9.66,20.52,1.08,2.93,0.04,47.1,46.86,0.58,502.04,597.833,1640.97,9004.087,3047.507,291.861,61.476,5.714,31.056,1033.225,5147.253,1.431
"44","1","Control","Control.1.2015","1","Ambient +RH","2015",5.64,1479.18,524.49,237.04,1.04,19.1,34.02,1.54,2.14,0.73,79.12,45.72,0.67,573.317,484.388,1719.51,7779.326,3037.383,307.207,121.21,8.07,43.131,642.782,5676.66,1.999
"46","1","Control","Control.0.2015","0","Ambient -RH","2015",6.98,1478.83,581.82,338.08,1.03,23.11,56.97,1.4,9.57,0.4,107.27,44.72,0.74,770.622,529.936,2199.603,5230.938,4659.08,500.704,482.472,9.6,57.285,1146.692,3757.328,2.755
"47","3","Altered Frequency","Altered Frequency.0.2015","0","Reduced frequency -RH","2015",9.64,1371.04,471.64,456.33,0.92,10.85,24.89,0.88,1.44,0.34,55.54,46.57,0.95,871.55,503.25,2097.276,10059.23,4098.007,313.234,120,6.523,46.39,1071.128,6045.613,1.977
"50","3","Altered Frequency","Altered Frequency.1.2015","1","Reduced frequency +RH","2015",10.24,1307.54,333.25,750.89,1.52,37.94,20.97,1.3,3.72,0.31,113.63,46.06,0.75,1733.003,559.187,1453.952,9793.917,4487.305,175.013,89.634,7.372,49.797,1083.868,5862.532,1.323
"52","3","Altered Frequency","Altered Frequency.0.2015","0","Reduced frequency -RH","2015",6.84,1235.7,436.28,405.76,1.13,10.76,23.69,0.87,2.87,0.21,106.9,45.28,0.62,660.79,624.664,2257.885,10881.61,2977.691,269.151,97.405,7.406,42.492,1283.73,5819.256,1.765
"53","1","Control","Control.0.2015","0","Ambient -RH","2015",6.92,1691.81,594.68,329.28,2.12,19.41,44.41,1.28,2.33,0.35,108.87,45.86,0.68,804.708,439.932,1855.25,6934.639,3426.052,360.226,152.051,7.234,45.439,810.334,5196.739,2.406
"54","3","Altered Frequency","Altered Frequency.1.2015","1","Reduced frequency +RH","2015",4.74,1629.69,531.92,311.55,1.12,19.18,41.66,1.72,2.53,0.3,143.81,44.73,0.71,584.355,420.698,1705.969,7899.769,3433.65,337.711,114.416,7.087,46.875,628.045,5388.895,2.707
"55","1","Control","Control.1.2015","1","Ambient +RH","2015",9.78,1445.4,457.13,291.33,0.9,26.77,43.49,2.16,2.88,0.26,103.71,43.72,0.69,542.669,525.93,2081.342,6516.197,3913.459,327.976,199.769,9.52,61.296,928.963,4284.207,3.41
"56","2","Reduced","Reduced.0.2015","0","Reduced amount -RH","2015",8.68,1778.87,601.94,424.17,1.14,15.02,42.11,0.89,1.72,0,55.57,46.62,0.47,511.161,510.282,1644.196,8003.739,2984.94,439.376,86.677,5.189,29.141,819.664,4823.599,1.705
"60","2","Reduced","Reduced.1.2015","1","Reduced amount +RH","2015",7.38,1054.98,376.72,598.68,2.7,21.25,18.45,0.65,2.25,0.49,77.37,45.56,0.88,1699.42,564.883,1651.307,5445.228,6254.405,313.125,289.707,11.105,87.267,1588.045,4109.069,2.129
"1","3","Altered Frequency","Altered Frequency.0.2016","0","Reduced frequency -RH","2016",1.18,1486.44,511.63,477.64,2.97,17.52,46.09,1.18,3.17,0.91,74.18,46.837,0.67963,628.023,464.088,1771.615,11639.87,4320.689,252.956,238.814,5.537,40.772,1894.471,5509.204,1.536
"2","1","Control","Control.0.2016","0","Ambient -RH","2016",10.58,1779.91,630.1,246.5,3.83,31.83,47.76,3.49,5.45,0.48,139.44,45.961,0.60617,901.955,579.577,1974.731,15385.51,3473.917,206.327,178.092,5.505,31.362,1239.82,9478.303,1.332
"4","2","Reduced","Reduced.1.2016","1","Reduced amount +RH","2016",4.96,1896.39,580,333.16,2.9,29.1,37.62,4.74,10.35,0.51,103.35,45.451,0.59448,1068.767,414.232,2400.224,17690.41,5410.72,213.673,372.744,5.698,72.153,1033.171,4747.87,1.279
"5","2","Reduced","Reduced.0.2016","0","Reduced amount -RH","2016",6.1,1993.85,481.07,463.99,5,37.05,42.38,8.68,16.98,0.53,93.4,45.592,0.53163,1109.204,314.759,1950.002,16373.31,5987.136,159.067,575.498,7.023,82.723,640.345,3929.598,1.702
"8","3","Altered Frequency","Altered Frequency.1.2016","1","Reduced frequency +RH","2016",1.38,1602.1,337.88,213.61,5.37,28.47,26.36,7.74,20.76,0,67.71,46.008,0.50272,770.474,560.217,2945.935,14115.65,3678.28,144.031,129.28,5.687,42.144,1667.336,8502.246,1.427
"10","1","Control","Control.1.2016","1","Ambient +RH","2016",0.78,1992.8,591.57,134.42,1.91,67.3,36.19,10.77,33.57,0.48,141.64,45.708,0.66404,536.063,271.542,2530.703,11440.34,4531.356,226.249,391.408,6.597,49.327,1629.316,9729.314,1.726
"11","2","Reduced","Reduced.0.2016","0","Reduced amount -RH","2016",7.5,1513.72,598.66,385.15,3.19,22.05,51.67,1.58,4.21,0.01,147.61,44.845,0.79599,486.71,451.067,2433.575,14658.79,3564.597,248.628,153.969,6.246,33.944,2128.312,9395.18,1.511
"12","1","Control","Control.1.2016","1","Ambient +RH","2016",1.36,1661.61,696.08,182.2,2.84,27.91,59.44,2.63,5.56,0.33,184.56,45.429,0.66561,333.807,400.76,1473.153,10750.42,3307.232,176.511,347.501,7.963,41.841,1073.907,7813.206,1.51
"13","3","Altered Frequency","Altered Frequency.1.2016","1","Reduced frequency +RH","2016",1.22,1037.58,414.33,309.13,2.54,13.91,32.63,0.87,3.3,0.17,42.73,45.712,0.63757,485.252,457.804,1458.448,12529.51,5696.116,258.349,972.351,6.815,56.69,674.674,3893.971,1.968
"16","3","Altered Frequency","Altered Frequency.0.2016","0","Reduced frequency -RH","2016",1.05,1794.63,513.96,220.34,3.14,30.06,41.77,7.88,16.6,0.13,60.12,44.59,0.7035,1187.716,587.535,3063.828,14751.35,6439.06,129.676,235.617,7.926,61.061,1860.118,14202.98,0.974
"18","1","Control","Control.0.2016","0","Ambient -RH","2016",4.42,2150.5,613.81,129.54,1.43,55.1,41.32,22.32,41.71,0.57,137.48,44.707,0.74085,681.606,403.859,2425.963,13820.84,4029.539,238.647,277.997,6.419,60.265,957.495,4105.264,1.749
"19","2","Reduced","Reduced.1.2016","1","Reduced amount +RH","2016",6.03,1758.72,541.81,404.7,2.7,45.49,45.68,6.67,16.58,0.25,155.6,45.611,0.78161,355.798,528.304,1835.692,10877.55,3590.524,222.465,236.985,4.774,36.253,840.255,3258.713,1.258
"24","1","Control","Control.0.2016","0","Ambient -RH","2016",7.14,1880.47,615.12,252.85,2.01,27.89,64.72,2.61,6.29,0.11,177.18,45.79,0.70511,535.889,739.104,2202.737,13952.64,3178.318,171.269,126.939,6.254,32.196,1578.716,8817.953,1.067
"26","3","Altered Frequency","Altered Frequency.1.2016","1","Reduced frequency +RH","2016",1.54,1906.06,577,208.39,2.24,17.5,38.24,1.81,15.27,0.29,72.94,46.23,0.70277,829.984,589.173,1683.74,13385.7,2699.16,179.339,188.748,5.956,45.432,730.585,7512.155,1.399
"27","1","Control","Control.1.2016","1","Ambient +RH","2016",1.62,2043.1,620.84,144.84,2.66,34.3,52.91,9.9,20.48,0.4,116.04,45.921,0.62099,729.497,580.302,1492.786,11761.1,3252.835,250.459,79.837,5.292,36.016,782.332,7792.234,1.184
"28","2","Reduced","Reduced.1.2016","1","Reduced amount +RH","2016",2.26,1755.31,548.09,307.77,2.37,38.65,44.06,4.94,9.58,0.23,194.63,45.509,0.61211,810.575,472.52,1614.215,13635.96,3239.235,184.447,178.03,5.519,39.407,992.136,9064.077,1.057
"29","3","Altered Frequency","Altered Frequency.0.2016","0","Reduced frequency -RH","2016",1.02,1502.13,460.34,313.62,2.53,50.84,70.37,3.34,9.41,0.17,84.19,45.772,0.63554,363.258,375.391,1742.703,7423.33,3027.66,305.266,241.362,5.76,29.238,258.705,6543.817,1.478
"30","2","Reduced","Reduced.0.2016","0","Reduced amount -RH","2016",3.52,1801.81,633.34,196.21,3.01,67.12,74.91,3.52,9.47,0.37,184.21,46.557,0.66671,300.571,379.276,1854.74,6843.837,3462.087,252.58,222.37,5.721,31.821,331.091,7048.908,1.891
"31","3","Altered Frequency","Altered Frequency.1.2016","1","Reduced frequency +RH","2016",2.24,956.68,312.25,340.56,4.24,15.88,39.3,1.48,1.82,0.24,106.83,46.736,0.4451,442.302,551.453,1244.916,9359.795,3412.85,284.958,151.639,4.962,30.116,259.791,6452.006,1.383
"33","3","Altered Frequency","Altered Frequency.0.2016","0","Reduced frequency -RH","2016",2.32,742.11,263.45,344.48,1.65,7.95,29.7,0.69,0.83,0.14,50.99,46.815,0.63482,458.084,298.881,1304.979,9964.694,2445.988,250.642,251.917,4.379,27.933,554.902,6864.684,1.649
"35","2","Reduced","Reduced.1.2016","1","Reduced amount +RH","2016",5.62,1811.95,608.42,306.22,7.26,30.42,66.16,2.02,3.29,0.11,102.42,46.276,0.43514,277.335,521.243,1496.484,8539.151,3076.617,246.921,398.792,5.067,34.328,409.327,7128.789,1.764
"36","1","Control","Control.1.2016","1","Ambient +RH","2016",5.97,1971.61,586.61,177.21,1.79,48.59,81.65,3.73,5.18,0.48,134.37,45.404,0.55296,206.137,444.458,650.85,5209.008,3641.832,219.158,339.749,5.327,32.924,-84.643,2702.291,2.026
